winery,name,country,region,winetype,grape,rate,price,price_f,topic1,topic2,bold,sweet,acidic,link,img,full_name,wine_id
Domaine Lafage,Cote Floral 2016,프랑스,Côtes Catalanes,White wine,Viognier,3.7,"₩25,000",25000,tree fruit, citrus,0.39167095908432975,0.0675052000796837,0.4321101015147578,https://www.vivino.com/domaine-lafage-cote-floral/w/1282730?year=2016&price_id=24530361,https://images.vivino.com/thumbs/f1nfJpgMQjuR5-e6r8SwkA_pb_x600.png,Domaine Lafage/Côté Floral 2016,100
Casale del Giglio,Anthium Bellone 2018,이탈리아,Lazio,White wine,Bellone,3.7,"₩42,106",42106,tree fruit, tropical,0.5558872779726433,0.22469728267794684,0.5852776725742213,https://www.vivino.com/casale-del-giglio-anthium-bellone-lazio-white-wine/w/4424541?year=2018&price_id=21280993,https://images.vivino.com/thumbs/FrM8lcWmT42UzUKpsqTLew_pb_x600.png,Casale del Giglio/Anthium Bellone 2018,49
Dr. Loosen,Riesling Red Slate Dry 2015,독일,Mosel,White wine,Riesling,3.7,"₩60,000",60000,earthy, citrus,0.4111979768647317,0.0,0.9496760955199302,https://www.vivino.com/dr-loosen-riesling-red-slate-dry/w/1987931?year=2015&price_id=24530171,https://images.vivino.com/thumbs/VKinSibWQ66AR4fbmeKJPg_pb_x600.png,Dr. Loosen/Riesling Red Slate Dry 2015,132
Tabali,Pedregoso Gran Reserva Viognier 2018,칠레,Limarí Valley,White wine,Viognier,3.7,"₩33,241",33241,tree fruit, citrus,0.43497894792125774,0.7658519426492678,0.11154089756949648,https://www.vivino.com/tabali-pedregoso-gran-reserva-viognier-limari-valley-white-wine/w/5458971?year=2018&price_id=26551637,https://images.vivino.com/thumbs/5sFVpXQgR7e7YkGWZEsJ6A_pb_x600.png,Tabali/Pedregoso Gran Reserva Viognier 2018,358
Wente Vineyards,Riverbank Riesling 2018,미국,Arroyo Seco,White wine,Riesling,3.7,"₩34,571",34571,tree fruit, citrus,0.43784568828153136,0.31519033458183104,0.7603666648749724,https://www.vivino.com/wente-vineyards-riverbank-riesling/w/1736524?year=2018&price_id=21678416,https://images.vivino.com/thumbs/5g1XIpUjSPiC5rFCXU803A_pb_x600.png,Wente Vineyards/Riverbank Riesling 2018,436
Quinta da Pedra,Longos Vales Alvarinho 2012,포르투갈,Monção e Melgaço,White wine,Alvarinho,3.7,"₩42,992",42992,citrus, tree fruit,0.13845095971556148,0.09845801260940806,0.7676651358001083,https://www.vivino.com/senhoria-longos-vales-alvarinho/w/2392324?year=2012&price_id=17609970,https://images.vivino.com/thumbs/atmBkzZrRCWDBFw2Kwq6mQ_pb_x600.png,Quinta da Pedra/Longos Vales Alvarinho 2012,315
Alpha Box & Dice,Golden Mullet Fury 2016,호주,McLaren Vale,White wine,Blend,3.7,"₩50,000",50000,None],,,,,https://www.vivino.com/alpha-box-and-dice-golden-mullet-fury/w/4277540?year=2016&price_id=21493626,https://images.vivino.com/thumbs/8PunpTD0RVikMkHHuAn5Kw_pb_x600.png,Alpha Box & Dice/Golden Mullet Fury 2016,7
Bree,Riesling 2014,독일,Pfalz,White wine,Riesling,3.7,"₩22,161",22161,tree fruit, citrus,0.40529608450422044,0.5202161510257483,0.918703728152579,https://www.vivino.com/bree-riesling/w/2573781?year=2014&price_id=2894993,https://images.vivino.com/thumbs/cwQIE3IeRkijU4CZnLBRXg_pb_x600.png,Bree/Riesling 2014,36
Chateau Saint-Roch,Vieilles Vignes Cotes du Roussillon Blanc 2018,프랑스,Côtes du Roussillon,White wine,Blend,3.7,"₩40,000",40000,citrus, earthy,0.465564996725953,0.0,0.4666642061832279,https://www.vivino.com/chateau-saint-roch-maury-vieilles-vignes-cotes-du-roussillon-blanc/w/1727687?year=2018&price_id=24530377,https://images.vivino.com/thumbs/PpMmF0ECRaSxgRnu0s4WLQ_pb_x600.png,Château Saint-Roch/Vieilles Vignes Côtes du Roussillon Blanc 2018,68
Leeuwin Estate,Art Series Sauvignon Blanc 2012,호주,Margaret River,White wine,Sauvignon Blanc,3.7,"₩66,483",66483,citrus, tropical,0.4405589869253935,0.0,0.7880570115480066,https://www.vivino.com/leeuwin-estate-art-series-sauvignon-blanc/w/2053013?year=2012&price_id=2894963,https://images.vivino.com/thumbs/Vxcbm23bTo6OlheJF3CUzg_pb_x600.png,Leeuwin Estate/Art Series Sauvignon Blanc 2012,239
