winery,name,country,region,winetype,grape,rate,price,price_f,topic1,topic2,bold,tannic,sweet,acidic,link,img,full_name,wine_id
Antinori,Villa Antinori Chianti Classico Riserva 2016,이탈리아,Chianti Classico,Red wine,Sangiovese,4.1,"₩60,000",60000.0,oaky,red fruit,0.5436740586084691,0.6588480453201011,0.1132770968840861,0.702438893904437,https://www.vivino.com/antinori-tuscany-villa-antinori-chianti-classico-riserva/w/1143960?year=2016&price_id=29015866,https://images.vivino.com/thumbs/_SapJlVIQHWqHJx3w1EbEQ_pb_x600.png,Antinori/Villa Antinori Chianti Classico Riserva 2016,55
Mascota Vineyards,Unanime Gran Vino Tinto 2014,아르헨티나,Mendoza,Red wine,Cabernet Sauvignon,4.1,"₩120,000",120000.0,oaky,black fruit,1.0,0.6464731464547248,0.11979215356947624,0.7264814257531681,https://www.vivino.com/mascota-vineyards-unanime-gran-vino-tinto/w/2273763?year=2014&price_id=24159857,https://images.vivino.com/thumbs/qj65DvSbSteYib4yYFu-_A_pb_x600.png,Mascota Vineyards/Unánime Gran Vino Tinto 2014,543
Louis M. Martini,Napa Valley Cabernet Sauvignon 2014,미국,Napa Valley,Red wine,Cabernet Sauvignon,4.1,"₩97,508",97508.0,oaky,black fruit,1.0,0.6424027081236339,0.1874058214430017,0.5752459290467115,https://www.vivino.com/louis-m-martini-napa-valley-cabernet-sauvignon/w/83357?year=2014&price_id=24485784,https://images.vivino.com/thumbs/2VMr_OpcQtyJrK8lsQR3tw_pb_x600.png,Louis M. Martini/Napa Valley Cabernet Sauvignon 2014,494
Robert Mondavi Winery,Cabernet Sauvignon 2018,미국,Napa Valley,Red wine,Blend,4.1,"₩107,702",107702.0,oaky,black fruit,1.0,0.6659808916352639,0.15673094443960292,0.5797973718527435,https://www.vivino.com/robert-mondavi-winery-cabernet-sauvignon/w/2425?year=2018&price_id=25051514,https://images.vivino.com/thumbs/uy1ky0joQO-3t-d_GulD4g_pb_x600.png,Robert Mondavi Winery/Cabernet Sauvignon 2018,713
Mollydooker,The Boxer Shiraz 2016,호주,McLaren Vale,Red wine,Shiraz/Syrah,4.1,"₩70,915",70915.0,oaky,black fruit,1.0,0.5298142659873759,0.4407615886169715,0.43766877319691044,https://www.vivino.com/mollydooker-winery-the-boxer-shiraz/w/950?year=2016&price_id=18675550,https://images.vivino.com/thumbs/_jEM-6XiQdOfFVLGXQLPDA_pb_x600.png,Mollydooker/The Boxer Shiraz 2016,586
Prunotto,Barolo 2015,이탈리아,Barolo,Red wine,Nebbiolo,4.1,"₩150,000",150000.0,red fruit,earthy,0.676626312989041,0.9049430330218361,0.0901166982245708,0.9576580733607516,https://www.vivino.com/prunotto-barolo/w/61134?year=2015&price_id=21493563,https://images.vivino.com/thumbs/5DB01rLjSA6lIn2AOAQwaQ_pb_x600.png,Prunotto/Barolo 2015,686
Mascota Vineyards,Unanime Gran Vino Tinto 2011,아르헨티나,Mendoza,Red wine,Cabernet Sauvignon,4.1,"₩120,000",120000.0,oaky,black fruit,1.0,0.6464731464547248,0.11979215356947624,0.7264814257531681,https://www.vivino.com/mascota-vineyards-unanime-gran-vino-tinto/w/2273763?year=2011&price_id=24159854,https://images.vivino.com/thumbs/qj65DvSbSteYib4yYFu-_A_pb_x600.png,Mascota Vineyards/Unánime Gran Vino Tinto 2011,540
Penfolds,Bin 28 Shiraz 2017,호주,Barossa Valley,Red wine,Shiraz/Syrah,4.1,"₩141,830",141830.0,oaky,black fruit,1.0,0.5138375744785579,0.39800987141804584,0.437000033436988,https://www.vivino.com/penfolds-bin-28-shiraz-barossa-valley/w/1244?year=2017&price_id=21003502,https://images.vivino.com/thumbs/qMM4cuzGQzeMrOFRsP2lpg_pb_x600.png,Penfolds/Bin 28 Shiraz 2017,631
Rutini,Malbec 2013,아르헨티나,Mendoza,Red wine,Malbec,4.1,"₩74,461",74461.0,oaky,black fruit,0.7334631140050942,0.35172743095213177,0.4190559565213947,0.33539438927341425,https://www.vivino.com/rutini-malbec/w/16504?year=2013&price_id=15636965,https://images.vivino.com/thumbs/L4CrWmKxTaaALVwLGOQbqg_pb_x600.png,Rutini/Malbec 2013,728
Tenuta Luce,Lucente 2018,이탈리아,Toscana,Red wine,Sangiovese,4.1,"₩150,000",150000.0,oaky,black fruit,0.5826310257171379,0.4913912145144579,0.16370015765747925,0.4776808105125889,https://www.vivino.com/tenuta-luce-lucente/w/83596?year=2018&price_id=23466048,https://images.vivino.com/thumbs/mrivmdHpRqig2KMs8Wchew_pb_x600.png,Tenuta Luce/Lucente 2018,789
Chateau d'Armailhac,Pauillac (Grand Cru Classe) 2012,프랑스,Pauillac,Red wine,Petit Verdot,4.1,"₩220,000",220000.0,oaky,black fruit,0.843002233682865,0.8970070046319288,0.14481374234489752,0.8228080382519143,https://www.vivino.com/fr-chateau-darmailhac-pauillac-grand-cru-classe/w/4091?year=2012&price_id=25696278,https://images.vivino.com/thumbs/Xa4l7CUiTzSBwp025RSaig_pb_x600.png,Château d'Armailhac/Pauillac (Grand Cru Classé) 2012,242
Cune (CVNE),Gran Reserva 2013,스페인,Rioja,Red wine,Tempranillo,4.1,"₩100,000",100000.0,oaky,black fruit,0.7344015618199968,0.6993711600159751,0.13864351187976834,0.6632213194235462,https://www.vivino.com/cune-cvne-gran-reserva/w/1200575?year=2013&price_id=21493559,https://images.vivino.com/thumbs/c7iDGSrpR2mZMz23zgzbWg_pb_x600.png,Cune (CVNE)/Gran Reserva 2013,287
Antinori,Villa Antinori Chianti Classico Riserva 2018,이탈리아,Chianti Classico,Red wine,Sangiovese,4.1,"₩60,000",60000.0,oaky,red fruit,0.5436740586084691,0.6588480453201011,0.1132770968840861,0.702438893904437,https://www.vivino.com/antinori-tuscany-villa-antinori-chianti-classico-riserva/w/1143960?year=2018&price_id=29015868,https://images.vivino.com/thumbs/_SapJlVIQHWqHJx3w1EbEQ_pb_x600.png,Antinori/Villa Antinori Chianti Classico Riserva 2018,57
Marina Cvetic,Montepulciano d'Abruzzo Riserva 2013,이탈리아,Montepulciano d'Abruzzo,Red wine,Montepulciano,4.1,"₩73,131",73131.0,oaky,black fruit,0.46555649892185996,0.5058087011882673,0.13408115002812485,0.7384211054268233,https://www.vivino.com/marina-cvetic-montepulciano-d-abruzzo-riserva/w/93055?year=2013&price_id=7953597,https://images.vivino.com/thumbs/8suEjR7wQ1KLhmrfAkmVkg_pb_x600.png,Marina Cvetić/Montepulciano d'Abruzzo Riserva 2013,519
Chateau d'Armailhac,Pauillac (Grand Cru Classe) 2011,프랑스,Pauillac,Red wine,Petit Verdot,4.1,"₩220,000",220000.0,oaky,black fruit,0.843002233682865,0.8970070046319288,0.14481374234489752,0.8228080382519143,https://www.vivino.com/fr-chateau-darmailhac-pauillac-grand-cru-classe/w/4091?year=2011&price_id=25696277,https://images.vivino.com/thumbs/Xa4l7CUiTzSBwp025RSaig_pb_x600.png,Château d'Armailhac/Pauillac (Grand Cru Classé) 2011,241
Chateau Tanunda,Grand Barossa Shiraz 2018,호주,Barossa,Red wine,Shiraz/Syrah,4.1,"₩43,436",43436.0,black fruit,oaky,0.9873524553247617,0.48739593634082035,0.39842382133208687,0.4271387969371718,https://www.vivino.com/tanunda-grand-barossa-shiraz/w/96148?year=2018&price_id=26456021,https://images.vivino.com/thumbs/5HuLBan0QeGtIs2RdC5VUg_pb_x600.png,Château Tanunda/Grand Barossa Shiraz 2018,237
Beaulieu Vineyard (BV),Napa Valley Cabernet Sauvignon 2017,미국,Napa Valley,Red wine,Cabernet Sauvignon,4.1,"₩60,000",60000.0,oaky,black fruit,1.0,0.5988967667868738,0.1900774819169248,0.5637716922459625,https://www.vivino.com/beaulieu-vineyard-napa-valley-cabernet-sauvignon/w/1133793?year=2017&price_id=23465987,https://images.vivino.com/thumbs/yL_Hsr9MSOKgN7dAyHVobQ_pb_x600.png,Beaulieu Vineyard (BV)/Napa Valley Cabernet Sauvignon 2017,81
Mascota Vineyards,Unanime Malbec 2017,아르헨티나,Mendoza,Red wine,Malbec,4.1,"₩120,000",120000.0,black fruit,oaky,0.7646823132814522,0.23219035857290016,0.3419820476458332,0.34375764871100406,https://www.vivino.com/mascota-vineyards-unanime-malbec/w/7607515?year=2017&price_id=26898379,https://images.vivino.com/thumbs/tso9s-ZXSuuVgcKSh1phCg_150x200.jpg,Mascota Vineyards/Unánime Malbec 2017,549
Mascota Vineyards,Unanime Malbec 2016,아르헨티나,Mendoza,Red wine,Malbec,4.1,"₩120,000",120000.0,black fruit,oaky,0.7646823132814522,0.23219035857290016,0.3419820476458332,0.34375764871100406,https://www.vivino.com/mascota-vineyards-unanime-malbec/w/7607515?year=2016&price_id=26898378,https://images.vivino.com/thumbs/4oh2sop9TBiUGtFlJHi2yw_150x200.jpg,Mascota Vineyards/Unánime Malbec 2016,548
Villa Annaberta,Amarone della Valpolicella 2015,이탈리아,Amarone della Valpolicella,Red wine,Blend,4.1,"₩200,000",200000.0,oaky,black fruit,0.9747049106495234,0.1576300086507867,1.0,0.16799144013107298,https://www.vivino.com/annaberta-amarone-della-valpolicella/w/1143618?year=2015&price_id=23466117,https://images.vivino.com/thumbs/rqehGRrQQCODGcS0mn_4ag_pb_x600.png,Villa Annaberta/Amarone della Valpolicella 2015,813
Chateau Lagrange,Saint-Julien (Grand Cru Classe) 2015,프랑스,Saint-Julien,Red wine,Blend,4.1,"₩93,105",93105.0,oaky,black fruit,0.7130360646001168,0.7972532646772312,0.13789602528857656,0.8479432908683586,https://www.vivino.com/chateau-lagrange-saint-julien-grand-cru-classe/w/97051?year=2015&price_id=29936561,https://images.vivino.com/thumbs/hUMIPR9KTVK0g0Tw8lpuOQ_pb_x600.png,Château Lagrange/Saint-Julien (Grand Cru Classé) 2015,224
Prunotto,Barbaresco 2016,이탈리아,Barbaresco,Red wine,Nebbiolo,4.1,"₩120,000",120000.0,red fruit,oaky,0.6543691638695568,0.8171043886163307,0.04909485592958494,0.9926184505299762,https://www.vivino.com/prunotto-barbaresco/w/61144?year=2016&price_id=21493568,https://images.vivino.com/thumbs/R6Z8wBpDSjezE_5Jz-T2fQ_pb_x600.png,Prunotto/Barbaresco 2016,680
